product name,sales price,off
Samsung EVO Plus 32 GB MicroSDHC Class 10 95 MB/s  Memory Card,429,999
HP U1 16 GB MicroSDHC Class 10 100 Mbps  Memory Card,249,900
Samsung EVO Plus 64 GB MicroSDXC Class 10 100 MB/s  Memory Card,799,1899
SanDisk MricroSDHC Class4 32 GB MicroSD Card Class 4 20 MB/s  Memory Card,319,599
HP U1 32 GB MicroSDHC Class 10 100 Mbps  Memory Card,399,699
SanDisk Ultra 32 GB MicroSDHC Class 10 98 MB/s  Memory Card,429,1000
SanDisk Ultra 64 GB MicroSDXC Class 10 100 MB/s  Memory Card,784,1900
SanDisk SDSQUNC 32 GB MicroSD Card Class 10 98 MB/s  Memory Card,393,899
SanDisk Ultra 16 GB MicroSDHC Class 10 98 MB/s  Memory Card,288,599
SanDisk 2 32 GB MicroSDHC Class 4 4 MB/s  Memory Card,359,900
SanDisk Ultra 32 GB MicroSDHC Class 10 98 MB/s  Memory Card,390,499
HP U1 64 GB MicroSDHC Class 10 100 Mbps  Memory Card,799,2900
SanDisk pro 16 GB SD Card Class 4 16 MB/s  Memory Card,243,499
SanDisk 4 GB MicroSDHC Class 4  Memory Card,265,351
SanDisk Ultra 16 GB MicroSDHC Class 10 80 MB/s  Memory Card,288,499
Sandisk 16 GB MicroSD Class 4 Memory Card,245,650
HP U1 32 GB MicroSD Card Class 10 80 MB/s  Memory Card,410,699
SanDisk Class 4 16 GB MicroSD Card Class 4 48 MB/s  Memory Card,242,399
SanDisk Basic 8 GB MicroSDHC Class 4 20 MB/s  Memory Card,245,399
SanDisk 16 GB MicroSD Card Class 4  Memory Card,490,1089
SanDisk Ultra 128 GB MicroSDXC Class 10 100 MB/s  Memory Card,1619,3000
SanDisk Ultra 32 GB MicroSDHC Class 10 98 MB/s  Memory Card,430,763
HP U1 16 GB MicroSD Card Class 10 80 MB/s  Memory Card,290,399
Samsung EVO Plus 16 GB MicroSDHC Class 10 48 MB/s  Memory Card,333,799
SanDisk pro 8 GB SD Card Class 4 8 MB/s  Memory Card,243,349
SanDisk Ultra SDHC Camera 32 GB SD Card Class 10 48 MB/s  Memory Card,485,1099
Samsung Evo Plus 32 GB MicroSD Card Class 10 95 MB/s  Memory Card,436,999
Toshiba M203 32 GB MicroSD Card Class 10 100 MB/s  Memory Card,439,499
Toshiba M203 16 GB MicroSD Card Class 10 100 MB/s  Memory Card,249,549
SanDisk 32 gb memory card combo 32 GB MicroSDHC Class 10 85 MB/s  Memory Card,825,1999
Ridata Ultra 16 GB SDHC Class 10 70 MB/s  Memory Card,299,999
SanDisk Ultra 128 GB MicroSDXC Class 10 100 MB/s  Memory Card,1705,2800
SanDisk Ultra 32 GB SDHC Class 10 80 MB/s  Memory Card,591,1199
SanDisk 32 GB MicroSD Card Class 10 98 MB/s  Memory Card,742,1499
HP U1 128 GB MicroSDHC Class 10 100 Mbps  Memory Card,1820,3999
SanDisk Ultra 533X 64 GB SDXC Class 10 80 MB/s  Memory Card,1040,2099
SanDisk Ultra 16 GB SDHC Class 10 80 MB/s  Memory Card,401,699
Lexar 633X 32 GB MicroSDHC Class 10 95 Mbps  Memory Card,457,1175
Toshiba N203 32 GB SDHC Class 10 100 MB/s  Memory Card,583,899
SanDisk A1 16 GB Ultra SDHC Class 10 98 MB/s  Memory Card,285,375
